id	price	sale_price	sale_price_effective_date
shopify_ZZ_15464894103883_56264279195979	2049.00 CZK	1700.00 CZK	2026-09-10T00:00+0200/2026-09-13T23:59+0200
shopify_ZZ_15464894169419_56264280408395	340.00 CZK		
shopify_ZZ_15464894267723_56264280441163	870.00 CZK	657.00 CZK	2026-09-10T00:00+0200/2026-09-13T23:59+0200
shopify_ZZ_15464894333259_56264280539467	414.00 CZK	347.00 CZK	2026-09-10T00:00+0200/2026-09-13T23:59+0200
shopify_ZZ_15464894398795_56264280572235	1633.00 CZK	1305.00 CZK	2026-09-10T00:00+0200/2026-09-13T23:59+0200
shopify_ZZ_15464894464331_56264280605003	360.00 CZK	320.00 CZK	2026-09-10T00:00+0200/2026-09-13T23:59+0200
shopify_ZZ_15464894497099_56264280637771	296.00 CZK		
shopify_ZZ_15464894595403_56264280670539	192.00 CZK	186.00 CZK	2026-09-10T00:00+0200/2026-09-13T23:59+0200
shopify_ZZ_15464894660939_56264280768843	206.00 CZK		
shopify_ZZ_15464894726475_56264280834379	2091.00 CZK	1902.00 CZK	2026-09-10T00:00+0200/2026-09-13T23:59+0200
shopify_ZZ_15464894792011_56264280899915	1837.00 CZK	1450.00 CZK	2026-09-10T00:00+0200/2026-09-13T23:59+0200
shopify_ZZ_15464894955851_56264281063755	3559.00 CZK		
shopify_ZZ_15464894988619_56264281096523	3691.00 CZK	2844.00 CZK	2026-09-10T00:00+0200/2026-09-13T23:59+0200
shopify_ZZ_15464895086923_56264281129291	1529.00 CZK		
shopify_ZZ_15464895119691_56264281162059	190.00 CZK		
shopify_ZZ_15464895217995_56264281194827	7108.00 CZK	5757.00 CZK	2026-09-10T00:00+0200/2026-09-13T23:59+0200
shopify_ZZ_15464895283531_56264281620811	4774.00 CZK	4765.00 CZK	2026-09-10T00:00+0200/2026-09-13T23:59+0200
shopify_ZZ_15464895414603_56264281653579	213.00 CZK		
shopify_ZZ_15464895447371_56264281686347	724.00 CZK	501.00 CZK	2026-09-10T00:00+0200/2026-09-13T23:59+0200
shopify_ZZ_15464895512907_56264281719115	441.00 CZK	342.00 CZK	2026-09-10T00:00+0200/2026-09-13T23:59+0200
